PERMIT_NUMBER,NAICS_CODE,NAICS_DESC,SIC_CODE,SIC_DESC
WY0000005,924120,Administration of Conservation Programs,,
WY0000019,,,0921,Fish Hatcheries And Preserves
WY0000051,,,1221,Bituminous Coal And Lignite - Surface
WY0000094,,,0921,Fish Hatcheries And Preserves
WY0000116,,,4941,Water Supply
WY0000175,,,1311,Crude Petroleum And Natural Gas
WY0000221,211111,Crude Petroleum and Natural Gas Extraction,1311,Crude Petroleum And Natural Gas
WY0000230,,,1311,Crude Petroleum And Natural Gas
WY0000248,,,4922,Natural Gas Transmission
WY0000256,,,1311,Crude Petroleum And Natural Gas
WY0000264,,,1311,Crude Petroleum And Natural Gas
WY0000272,,,1311,Crude Petroleum And Natural Gas
WY0000281,,,1382,Oil And Gas Exploration Services
WY0000299,,,1311,Crude Petroleum And Natural Gas
WY0000353,,,1311,Crude Petroleum And Natural Gas
WY0000388,,,1311,Crude Petroleum And Natural Gas
WY0000418,,,2063,Beet Sugar
WY0000442,339999,All Other Miscellaneous Manufacturing,3999,Manufacturing Industries
WY0000451,,,2911,Petroleum Refining
WY0000469,211111,Crude Petroleum and Natural Gas Extraction,1311,Crude Petroleum And Natural Gas
WY0000493,,,1311,Crude Petroleum And Natural Gas
WY0000507,,,1311,Crude Petroleum And Natural Gas
WY0000647,,,4013,Switching And Terminal Services
WY0000663,,,1311,Crude Petroleum And Natural Gas
WY0000671,,,1311,Crude Petroleum And Natural Gas
WY0000680,,,1311,Crude Petroleum And Natural Gas
WY0000710,,,1311,Crude Petroleum And Natural Gas
WY0000736,,,1311,Crude Petroleum And Natural Gas
WY0000744,,,1311,Crude Petroleum And Natural Gas
WY0000761,,,1311,Crude Petroleum And Natural Gas
WY0000779,211111,Crude Petroleum and Natural Gas Extraction,1311,Crude Petroleum And Natural Gas
WY0000787,,,1311,Crude Petroleum And Natural Gas
WY0000795,,,1311,Crude Petroleum And Natural Gas
WY0000817,,,1311,Crude Petroleum And Natural Gas
WY0000825,,,1311,Crude Petroleum And Natural Gas
WY0000841,,,1311,Crude Petroleum And Natural Gas
WY0000868,,,1311,Crude Petroleum And Natural Gas
WY0000906,,,1311,Crude Petroleum And Natural Gas
WY0000914,,,1311,Crude Petroleum And Natural Gas
WY0000922,211111,Crude Petroleum and Natural Gas Extraction,1311,Crude Petroleum And Natural Gas
WY0000949,211111,Crude Petroleum and Natural Gas Extraction,1311,Crude Petroleum And Natural Gas
WY0000965,,,1311,Crude Petroleum And Natural Gas
WY0000973,,,1311,Crude Petroleum And Natural Gas
WY0001031,,,1311,Crude Petroleum And Natural Gas
WY0001163,,,2911,Petroleum Refining
WY0001171,,,1311,Crude Petroleum And Natural Gas
WY0001198,,,1382,Oil And Gas Exploration Services
WY0001210,,,1311,Crude Petroleum And Natural Gas
WY0001261,,,1221,Bituminous Coal And Lignite - Surface
WY0001287,,,2911,Petroleum Refining
WY0001350,,,1311,Crude Petroleum And Natural Gas
WY0001384,,,4911,Electric Services
WY0001392,,,4941,Water Supply
WY0001414,,,1311,Crude Petroleum And Natural Gas
WY0001473,,,1311,Crude Petroleum And Natural Gas
WY0001481,,,1311,Crude Petroleum And Natural Gas
WY0001490,,,1311,Crude Petroleum And Natural Gas
WY0001503,,,1311,Crude Petroleum And Natural Gas
WY0001520,,,1311,Crude Petroleum And Natural Gas
WY0001554,,,1311,Crude Petroleum And Natural Gas
WY0001589,,,1311,Crude Petroleum And Natural Gas
WY0001597,,,1311,Crude Petroleum And Natural Gas
WY0001619,,,1311,Crude Petroleum And Natural Gas
WY0001627,,,1311,Crude Petroleum And Natural Gas
WY0001635,,,1311,Crude Petroleum And Natural Gas
WY0001643,,,1311,Crude Petroleum And Natural Gas
WY0001678,,,1311,Crude Petroleum And Natural Gas
WY0001686,,,1311,Crude Petroleum And Natural Gas
WY0001732,,,1311,Crude Petroleum And Natural Gas
WY0001759,,,1311,Crude Petroleum And Natural Gas
WY0001864,,,1311,Crude Petroleum And Natural Gas
WY0001899,,,1311,Crude Petroleum And Natural Gas
WY0001902,,,1311,Crude Petroleum And Natural Gas
WY0001911,,,1311,Crude Petroleum And Natural Gas
WY0001988,,,0921,Fish Hatcheries And Preserves
WY0002003,,,0921,Fish Hatcheries And Preserves
WY0002011,,,0921,Fish Hatcheries And Preserves
WY0002046,,,0921,Fish Hatcheries And Preserves
WY0002054,,,0921,Fish Hatcheries And Preserves
WY0002062,,,1311,Crude Petroleum And Natural Gas
WY0002194,,,1311,Crude Petroleum And Natural Gas
WY0002241,,,1311,Crude Petroleum And Natural Gas
WY0002402,,,1311,Crude Petroleum And Natural Gas
WY0002437,,,1311,Crude Petroleum And Natural Gas
WY0002445,,,1311,Crude Petroleum And Natural Gas
WY0002500,,,1311,Crude Petroleum And Natural Gas
WY0002593,,,1311,Crude Petroleum And Natural Gas
WY0002666,,,1311,Crude Petroleum And Natural Gas
WY0002721,,,1311,Crude Petroleum And Natural Gas
WY0002941,,,1311,Crude Petroleum And Natural Gas
WY0002984,,,1311,Crude Petroleum And Natural Gas
WY0003051,,,1311,Crude Petroleum And Natural Gas
WY0003115,,,4911,Electric Services
WY0003140,,,1311,Crude Petroleum And Natural Gas
WY0003221,,,1311,Crude Petroleum And Natural Gas
WY0003298,,,1311,Crude Petroleum And Natural Gas
WY0003301,,,1311,Crude Petroleum And Natural Gas
WY0003514,,,1221,Bituminous Coal And Lignite - Surface
WY0020010,,,4952,Sewerage Systems
WY0020028,,,4952,Sewerage Systems
WY0020044,,,4952,Sewerage Systems
WY0020052,,,4952,Sewerage Systems
WY0020061,,,4952,Sewerage Systems
WY0020095,,,4952,Sewerage Systems
WY0020109,,,4952,Sewerage Systems
WY0020117,,,4952,Sewerage Systems
WY0020125,,,4952,Sewerage Systems
WY0020133,,,4952,Sewerage Systems
WY0020168,,,4952,Sewerage Systems
WY0020176,,,4952,Sewerage Systems
WY0020184,,,4952,Sewerage Systems
WY0020192,,,4952,Sewerage Systems
WY0020222,,,4952,Sewerage Systems
WY0020231,,,4952,Sewerage Systems
WY0020265,,,1311,Crude Petroleum And Natural Gas
WY0020281,,,4952,Sewerage Systems
WY0020311,,,4911,Electric Services
WY0020320,,,4952,Sewerage Systems
WY0020338,211111,Crude Petroleum and Natural Gas Extraction,1311,Crude Petroleum And Natural Gas
WY0020389,,,4952,Sewerage Systems
WY0020397,,,4952,Sewerage Systems
WY0020427,,,4952,Sewerage Systems
WY0020435,,,4952,Sewerage Systems
WY0020443,,,4952,Sewerage Systems
WY0020451,,,4952,Sewerage Systems
WY0020508,,,1311,Crude Petroleum And Natural Gas
WY0020567,,,4952,Sewerage Systems
WY0020583,,,4952,Sewerage Systems
WY0020591,,,4952,Sewerage Systems
WY0020605,,,4952,Sewerage Systems
WY0020630,,,4952,Sewerage Systems
WY0020648,,,4952,Sewerage Systems
WY0020656,,,4952,Sewerage Systems
WY0020664,,,4952,Sewerage Systems
WY0020672,,,4952,Sewerage Systems
WY0020699,,,1311,Crude Petroleum And Natural Gas
WY0020745,,,4952,Sewerage Systems
WY0020834,,,4952,Sewerage Systems
WY0020931,,,4952,Sewerage Systems
WY0021024,,,4952,Sewerage Systems
WY0021032,,,4952,Sewerage Systems
WY0021075,,,4952,Sewerage Systems
WY0021440,,,4952,Sewerage Systems
WY0021458,,,4952,Sewerage Systems
WY0021491,,,4952,Sewerage Systems
WY0021580,,,4952,Sewerage Systems
WY0021652,,,4952,Sewerage Systems
WY0021733,,,4952,Sewerage Systems
WY0021741,,,4952,Sewerage Systems
WY0021806,,,4952,Sewerage Systems
WY0021831,,,4952,Sewerage Systems
WY0021890,,,4952,Sewerage Systems
WY0021920,,,4952,Sewerage Systems
WY0021938,,,4952,Sewerage Systems
WY0021954,,,4952,Sewerage Systems
WY0021997,,,4952,Sewerage Systems
WY0022063,,,4952,Sewerage Systems
WY0022071,,,4952,Sewerage Systems
WY0022080,,,4952,Sewerage Systems
WY0022128,,,4952,Sewerage Systems
WY0022144,,,0211,Beef Cattle Feedlots
WY0022161,,,4952,Sewerage Systems
WY0022209,,,4952,Sewerage Systems
WY0022306,,,0211,Beef Cattle Feedlots
WY0022357,,,4952,Sewerage Systems
WY0022373,,,4952,Sewerage Systems
WY0022381,,,4952,Sewerage Systems
WY0022454,,,1311,Crude Petroleum And Natural Gas
WY0022501,,,0211,Beef Cattle Feedlots
WY0022578,,,1311,Crude Petroleum And Natural Gas
WY0022756,,,0211,Beef Cattle Feedlots
WY0022829,,,1311,Crude Petroleum And Natural Gas
WY0022837,,,1311,Crude Petroleum And Natural Gas
WY0022888,,,4952,Sewerage Systems
WY0022896,,,4952,Sewerage Systems
WY0022926,,,1221,Bituminous Coal And Lignite - Surface
WY0022934,,,4952,Sewerage Systems
WY0023221,,,1311,Crude Petroleum And Natural Gas
WY0023248,,,1311,Crude Petroleum And Natural Gas
WY0023311,,,1311,Crude Petroleum And Natural Gas
WY0023400,,,4952,Sewerage Systems
WY0023442,,,4952,Sewerage Systems
WY0023507,,,1311,Crude Petroleum And Natural Gas
WY0023566,,,1311,Crude Petroleum And Natural Gas
WY0023612,,,4941,Water Supply
WY0023761,,,1221,Bituminous Coal And Lignite - Surface
WY0023825,,,1222,Bituminous Coal - Underground
WY0023914,,,1311,Crude Petroleum And Natural Gas
WY0023990,,,1311,Crude Petroleum And Natural Gas
WY0024023,,,1311,Crude Petroleum And Natural Gas
WY0024031,,,1221,Bituminous Coal And Lignite - Surface
WY0024091,,,1221,Bituminous Coal And Lignite - Surface
WY0024171,,,1311,Crude Petroleum And Natural Gas
WY0024180,,,1311,Crude Petroleum And Natural Gas
WY0024198,,,1311,Crude Petroleum And Natural Gas
WY0024201,,,1311,Crude Petroleum And Natural Gas
WY0024261,,,1311,Crude Petroleum And Natural Gas
WY0024317,,,1311,Crude Petroleum And Natural Gas
WY0024368,,,1311,Crude Petroleum And Natural Gas
WY0024376,,,1311,Crude Petroleum And Natural Gas
WY0024414,,,1321,Natural Gas Liquids
WY0024422,,,1311,Crude Petroleum And Natural Gas
WY0024503,,,1311,Crude Petroleum And Natural Gas
WY0024651,,,4952,Sewerage Systems
WY0024660,,,1311,Crude Petroleum And Natural Gas
WY0024686,,,1311,Crude Petroleum And Natural Gas
WY0024708,,,4952,Sewerage Systems
WY0024716,,,1311,Crude Petroleum And Natural Gas
WY0024741,,,1311,Crude Petroleum And Natural Gas
WY0024759,,,1311,Crude Petroleum And Natural Gas
WY0024864,,,1311,Crude Petroleum And Natural Gas
WY0024945,211111,Crude Petroleum and Natural Gas Extraction,1311,Crude Petroleum And Natural Gas
WY0024953,211111,Crude Petroleum and Natural Gas Extraction,1311,Crude Petroleum And Natural Gas
WY0024961,211111,Crude Petroleum and Natural Gas Extraction,1311,Crude Petroleum And Natural Gas
WY0025011,,,1311,Crude Petroleum And Natural Gas
WY0025054,,,1311,Crude Petroleum And Natural Gas
WY0025071,,,1311,Crude Petroleum And Natural Gas
WY0025101,,,1311,Crude Petroleum And Natural Gas
WY0025127,,,1311,Crude Petroleum And Natural Gas
WY0025232,211111,Crude Petroleum and Natural Gas Extraction,1311,Crude Petroleum And Natural Gas
WY0025283,,,1311,Crude Petroleum And Natural Gas
WY0025470,,,1311,Crude Petroleum And Natural Gas
WY0025607,211111,Crude Petroleum and Natural Gas Extraction,1311,Crude Petroleum And Natural Gas
WY0025712,,,1311,Crude Petroleum And Natural Gas
WY0025721,,,1311,Crude Petroleum And Natural Gas
WY0025755,,,1221,Bituminous Coal And Lignite - Surface
WY0025780,,,1311,Crude Petroleum And Natural Gas
WY0025879,211111,Crude Petroleum and Natural Gas Extraction,1311,Crude Petroleum And Natural Gas
WY0025887,,,1311,Crude Petroleum And Natural Gas
WY0025895,,,4952,Sewerage Systems
WY0025950,,,1094,Uranium-Radium-Vanadium Ores
WY0025992,,,4952,Sewerage Systems
WY0026018,,,1221,Bituminous Coal And Lignite - Surface
WY0026026,,,1311,Crude Petroleum And Natural Gas
WY0026051,,,1311,Crude Petroleum And Natural Gas
WY0026131,,,1311,Crude Petroleum And Natural Gas
WY0026140,,,1311,Crude Petroleum And Natural Gas
WY0026239,,,1311,Crude Petroleum And Natural Gas
WY0026310,,,1311,Crude Petroleum And Natural Gas
WY0026417,,,1311,Crude Petroleum And Natural Gas
WY0026433,,,4952,Sewerage Systems
WY0026441,,,4952,Sewerage Systems
WY0026573,,,1311,Crude Petroleum And Natural Gas
WY0026590,,,1311,Crude Petroleum And Natural Gas
WY0026611,,,1311,Crude Petroleum And Natural Gas
WY0026701,,,1311,Crude Petroleum And Natural Gas
